city,title,label
인천,강화유수부동헌,0
인천,강화유수부이방청,0
인천,강화전적지,0
인천,강화해수랜드,0
인천,강화향교,0
경상북도,개경포공원,0
전라북도,개령암지 마애불상군,0
경상북도,개령향교,0
경상북도,개목사(안동),0
충청남도,개삼터·개삼각,0
충청북도,개심사 목조여래좌상과 목조관음보살좌상,0
충청북도,개심사(괴산),0
충청남도,개심사(서산),0
전라북도,개암사,0
강원도,개야강변 야영장,0
제주도,개오름,0
제주도,개오리오름,0
서울,개운사(서울),0
경기도,개원사(경기),0
전라남도,개천사,0
경상북도,개천지 / 조성지,0
충청남도,개태사(논산),0
경상남도,개평한옥마을,0
인천,개항장 거리,0
충청남도,개화예술공원,0
제주도,갯거리오름(갯그르),0
강원도,갯마을해변,0
경기도,갱매폭포,0
경상남도,거가대교,0
전라남도,거금도,0
전라남도,거금생태숲,0
경상북도,거동사,0
강원도,거두리낚시터,0
경상남도,거류산&거류산성,0
제주도,거린사슴,0
경상남도,거림계곡,0
전라남도,거문도,0
전라남도,거문도 등대,0
전라남도,거문도 신선바위,0
강원도,거문산,0
제주도,거문오름 [세계자연유산],0
제주도,거미오름,0
전라남도,거북선대교,0
강원도,거북이낚시터,0
제주도,"거슨세미(세미오름, 샘오름)",0
경상남도,거열산성군립공원,0
경상북도,거일1리어촌체험마을,0
인천,거잠포해변,0
충청남도,거전마을 [농촌체험],0
경상남도,거제 계도어촌체험마을,0
경상남도,거제 구조라관광어촌마을,0
경상남도,거제 대우조선해양 옥포조선소,0
경상남도,거제 둔덕기성.사등성지.오량성,0
경상남도,거제 명진리 느티나무,0
경상남도,거제 쌍근어촌체험마을,0
경상남도,거제 알로에테마파크,0
경상남도,거제 어구낚시마을,0
경상남도,거제 외간리 동백나무,0
경상남도,거제 조선 해양문화관,0
경상남도,거제 학동리 동백나무 숲 및 팔색조 번식지,0
경상남도,거제대교,0
경상남도,거제도,0
경상남도,거제도 내도,0
경상남도,거제도 포로수용소 유적공원,0
경상남도,거제도 해금강,0
경상남도,거제도해수온천,0
