,0
527,미틴놈
528,미틴뇬
529,밑구녕
530,밑구녕빨기
531,밑구멍
532,바랄년
533,바보
534,바보멍청이해삼멍게말미잘
535,박고싶다
536,박고싶퍼
537,박아줄게
538,박아줄께
539,박을께
540,박을년
541,발컨
542,밥통
543,방가
544,배때기
545,백보지
546,뱅마
547,뱅쉰
548,뱅싄
549,뱅신
550,뱅신
551,뱡신
552,버러지 곤충을 비롯하여 기생충과 같은 하등 동물을 통틀어 이르는 말이나 어감상 욕으로 쓰인다.
553,버즤
554,버지
555,버지물
556,버짓물
557,번섹
558,번쌕
559,번쎅
560,벙어리
561,벼엉신
562,벼엉신
563,변섹
564,변태
565,변퇴
566,병쉰
567,병쉰
568,병싀
569,병싄
570,병신
571,병신
572,병신 (病身)
573,병신따까리(새끼) 병신의 부하.
574,병씬
575,병자
576,보G
577,보오지
578,보전깨
579,보쥐
580,보즤
581,보지
582,보지
583,보지걸
584,보지구녕
585,보지구멍
586,보지나라
587,보지년 여자를 속되게 이르는 말.
588,보지당
589,보지물
590,보지보지
591,보지털
592,보짓년
593,보짓물
594,보짖물
595,보추 보지 + 고추 인터넷에서 넷카마질하거나 여장남자를 비꼬는 말.
596,볼때기
597,볼륨감
598,봉알
599,뵤즤
600,뵤지
601,뵨태
602,뵹딱
603,뵹싄
604,뵹신
605,부랄
606,부랄
607,부럴
608,부부섹스
609,부아통
610,부카케
611,분빠이
612,불륜
613,불알
614,불알
615,불할
616,붕가
617,붕딱
618,붕딲
619,붕뛴
620,붕싄
621,붕시나
622,붕신
623,붕알
624,붙어먹
625,붜지
626,붱신
627,뷍슨
628,뷍싄
629,뷍신
630,뷩쉬
631,뷩쉰
632,뷩싄
633,뷩신
634,뷰웅
635,뷰웅신
636,븅
637,븅딱
638,븅딱 병신 딱지를 강하게 발음한 븅신 딱지의 준말이다.
639,븅쉰
640,븅싄
641,븅시
642,븅신
643,븅신
644,븅아
645,브랄
646,블알
647,븡딱
648,븡쉰
649,븡신
650,븽딱
651,븽쉬
652,븽슨
653,븽싄
654,븽시
655,븽신
656,비듬
657,비잉신
658,빌어먹
659,빌어먹을
660,빌어먹을 이 형태로 쓰이면 문자 그대로 '거지처럼 동냥해서 하루하루를 버티는 자' 란 뜻으로 쓰지만 여위고 병약하다는 뜻의 '비루먹을' 을 어원으로 보기도 한다.
661,빙딱
662,빙쉬
663,빙쉰
664,빙싀
665,빙싄
666,빙시
667,빙시
668,빙신
669,빙신
670,빠가
671,빠가 일본어로 ‘멍청이’를 뜻하는 바카야로(馬鹿野?)에서 온 말.
672,빠걸
673,빠구리
674,빠굴
675,빠굴
676,빠굴이
677,빠꾸리
678,빠도리
679,빠돌이
680,빠돼쌍
681,빠라
682,빠라조
683,빠라줘
684,빠러
685,빠수니
686,빠순이
687,빠큐
688,빠큐
689,빡대가리 머리가 텅텅 비었다는 말로 흔히 경상도에서 많이 사용한다.
690,빡돌
691,빡촌
692,빡큐
693,빨갱이
